2026-02-09 13:26:32 status half-installed liblzf1:amd64 3.6-4
2026-02-09 13:26:32 status unpacked liblzf1:amd64 3.6-4
2026-02-09 13:26:32 install redis-tools:amd64 <none> 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status half-installed redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status triggers-pending man-db:amd64 2.13.0-1
2026-02-09 13:26:32 status unpacked redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 install redis-server:amd64 <none> 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status half-installed redis-server:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status unpacked redis-server:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 startup packages configure
2026-02-09 13:26:32 configure liblzf1:amd64 3.6-4 <none>
2026-02-09 13:26:32 status unpacked liblzf1:amd64 3.6-4
2026-02-09 13:26:32 status half-configured liblzf1:amd64 3.6-4
2026-02-09 13:26:32 status installed liblzf1:amd64 3.6-4
2026-02-09 13:26:32 configure redis-tools:amd64 5:7.0.15-3ubuntu0.1 <none>
2026-02-09 13:26:32 status unpacked redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:32 status half-configured redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:33 status installed redis-tools:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:33 configure redis-server:amd64 5:7.0.15-3ubuntu0.1 <none>
2026-02-09 13:26:33 status unpacked redis-server:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:33 status half-configured redis-server:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:34 status installed redis-server:amd64 5:7.0.15-3ubuntu0.1
2026-02-09 13:26:34 trigproc man-db:amd64 2.13.0-1 <none>
2026-02-09 13:26:34 status half-configured man-db:amd64 2.13.0-1
2026-02-09 13:26:36 status installed man-db:amd64 2.13.0-1
2026-02-09 13:26:36 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2026-02-09 13:26:36 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2026-02-09 13:26:36 status installed libc-bin:amd64 2.41-6ubuntu1.2
2026-02-25 16:50:53 startup archives unpack
2026-02-25 16:50:53 upgrade google-chrome-stable:amd64 144.0.7559.109-1 145.0.7632.116-1
2026-02-25 16:50:53 status half-configured google-chrome-stable:amd64 144.0.7559.109-1
2026-02-25 16:50:53 status unpacked google-chrome-stable:amd64 144.0.7559.109-1
2026-02-25 16:50:53 status half-installed google-chrome-stable:amd64 144.0.7559.109-1
2026-02-25 16:51:04 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-25 16:51:04 status triggers-pending desktop-file-utils:amd64 0.28-1
2026-02-25 16:51:04 status triggers-pending man-db:amd64 2.13.0-1
2026-02-25 16:51:05 status unpacked google-chrome-stable:amd64 145.0.7632.116-1
2026-02-25 16:51:05 upgrade code:amd64 1.108.2-1769004815 1.109.5-1771531656
2026-02-25 16:51:05 status half-configured code:amd64 1.108.2-1769004815
2026-02-25 16:51:05 status unpacked code:amd64 1.108.2-1769004815
2026-02-25 16:51:05 status half-installed code:amd64 1.108.2-1769004815
2026-02-25 16:51:09 status triggers-pending shared-mime-info:amd64 2.4-5build1
2026-02-25 16:51:12 status unpacked code:amd64 1.109.5-1771531656
2026-02-25 16:51:12 startup packages configure
2026-02-25 16:51:12 configure code:amd64 1.109.5-1771531656 <none>
2026-02-25 16:51:12 status unpacked code:amd64 1.109.5-1771531656
2026-02-25 16:51:12 status half-configured code:amd64 1.109.5-1771531656
2026-02-25 16:51:15 status installed code:amd64 1.109.5-1771531656
2026-02-25 16:51:15 configure google-chrome-stable:amd64 145.0.7632.116-1 <none>
2026-02-25 16:51:15 status unpacked google-chrome-stable:amd64 145.0.7632.116-1
2026-02-25 16:51:15 status half-configured google-chrome-stable:amd64 145.0.7632.116-1
2026-02-25 16:51:16 status installed google-chrome-stable:amd64 145.0.7632.116-1
2026-02-25 16:51:16 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-02-25 16:51:16 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-25 16:51:16 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-25 16:51:16 trigproc man-db:amd64 2.13.0-1 <none>
2026-02-25 16:51:16 status half-configured man-db:amd64 2.13.0-1
2026-02-25 16:51:17 status installed man-db:amd64 2.13.0-1
2026-02-25 16:51:17 trigproc shared-mime-info:amd64 2.4-5build1 <none>
2026-02-25 16:51:17 status half-configured shared-mime-info:amd64 2.4-5build1
2026-02-25 16:51:19 status installed shared-mime-info:amd64 2.4-5build1
2026-02-25 16:51:19 trigproc desktop-file-utils:amd64 0.28-1 <none>
2026-02-25 16:51:19 status half-configured desktop-file-utils:amd64 0.28-1
2026-02-25 16:51:19 status installed desktop-file-utils:amd64 0.28-1
2026-03-13 11:45:07 startup packages remove
2026-03-13 11:45:07 status installed google-chrome-stable:amd64 145.0.7632.116-1
2026-03-13 11:45:07 remove google-chrome-stable:amd64 145.0.7632.116-1 <none>
2026-03-13 11:45:07 status half-configured google-chrome-stable:amd64 145.0.7632.116-1
2026-03-13 11:45:07 status half-installed google-chrome-stable:amd64 145.0.7632.116-1
2026-03-13 11:45:07 status triggers-pending man-db:amd64 2.13.0-1
2026-03-13 11:45:07 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-13 11:45:07 status triggers-pending desktop-file-utils:amd64 0.28-1
2026-03-13 11:45:07 status config-files google-chrome-stable:amd64 145.0.7632.116-1
2026-03-13 11:45:07 startup packages configure
2026-03-13 11:45:07 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-03-13 11:45:07 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-13 11:45:07 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-13 11:45:07 trigproc man-db:amd64 2.13.0-1 <none>
2026-03-13 11:45:07 status half-configured man-db:amd64 2.13.0-1
2026-03-13 11:45:08 status installed man-db:amd64 2.13.0-1
2026-03-13 11:45:08 trigproc desktop-file-utils:amd64 0.28-1 <none>
2026-03-13 11:45:08 status half-configured desktop-file-utils:amd64 0.28-1
2026-03-13 11:45:08 status installed desktop-file-utils:amd64 0.28-1
2026-03-15 01:27:44 startup archives unpack
2026-03-15 01:27:44 install ca-certificates-java:all <none> 20240118
2026-03-15 01:27:44 status half-installed ca-certificates-java:all 20240118
2026-03-15 01:27:44 status unpacked ca-certificates-java:all 20240118
2026-03-15 01:27:44 install java-common:all <none> 0.76
2026-03-15 01:27:44 status half-installed java-common:all 0.76
2026-03-15 01:27:44 status triggers-pending man-db:amd64 2.13.0-1
2026-03-15 01:27:44 status unpacked java-common:all 0.76
2026-03-15 01:27:44 install openjdk-21-jre-headless:amd64 <none> 21.0.9+10-1~25.04
2026-03-15 01:27:44 status half-installed openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:45 status unpacked openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:45 install default-jre-headless:amd64 <none> 2:1.21-76
2026-03-15 01:27:45 status half-installed default-jre-headless:amd64 2:1.21-76
2026-03-15 01:27:45 status unpacked default-jre-headless:amd64 2:1.21-76
2026-03-15 01:27:46 install openjdk-21-jre:amd64 <none> 21.0.9+10-1~25.04
2026-03-15 01:27:46 status half-installed openjdk-21-jre:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-15 01:27:46 status triggers-pending desktop-file-utils:amd64 0.28-1
2026-03-15 01:27:46 status triggers-pending hicolor-icon-theme:all 0.18-2
2026-03-15 01:27:46 status unpacked openjdk-21-jre:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 install default-jre:amd64 <none> 2:1.21-76
2026-03-15 01:27:46 status half-installed default-jre:amd64 2:1.21-76
2026-03-15 01:27:46 status unpacked default-jre:amd64 2:1.21-76
2026-03-15 01:27:46 install openjdk-21-jdk-headless:amd64 <none> 21.0.9+10-1~25.04
2026-03-15 01:27:46 status half-installed openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 status unpacked openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 install default-jdk-headless:amd64 <none> 2:1.21-76
2026-03-15 01:27:46 status half-installed default-jdk-headless:amd64 2:1.21-76
2026-03-15 01:27:46 status unpacked default-jdk-headless:amd64 2:1.21-76
2026-03-15 01:27:46 install openjdk-21-jdk:amd64 <none> 21.0.9+10-1~25.04
2026-03-15 01:27:46 status half-installed openjdk-21-jdk:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 status unpacked openjdk-21-jdk:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:46 install default-jdk:amd64 <none> 2:1.21-76
2026-03-15 01:27:46 status half-installed default-jdk:amd64 2:1.21-76
2026-03-15 01:27:46 status unpacked default-jdk:amd64 2:1.21-76
2026-03-15 01:27:46 install fonts-dejavu-extra:all <none> 2.37-8
2026-03-15 01:27:46 status half-installed fonts-dejavu-extra:all 2.37-8
2026-03-15 01:27:46 status triggers-pending fontconfig:amd64 2.15.0-2.2ubuntu1
2026-03-15 01:27:46 status unpacked fonts-dejavu-extra:all 2.37-8
2026-03-15 01:27:46 install libatk-wrapper-java:all <none> 0.40.0-3build2
2026-03-15 01:27:46 status half-installed libatk-wrapper-java:all 0.40.0-3build2
2026-03-15 01:27:46 status unpacked libatk-wrapper-java:all 0.40.0-3build2
2026-03-15 01:27:47 install libatk-wrapper-java-jni:amd64 <none> 0.40.0-3build2
2026-03-15 01:27:47 status half-installed libatk-wrapper-java-jni:amd64 0.40.0-3build2
2026-03-15 01:27:47 status unpacked libatk-wrapper-java-jni:amd64 0.40.0-3build2
2026-03-15 01:27:47 install libxt-dev:amd64 <none> 1:1.2.1-1.2build1
2026-03-15 01:27:47 status half-installed libxt-dev:amd64 1:1.2.1-1.2build1
2026-03-15 01:27:47 status unpacked libxt-dev:amd64 1:1.2.1-1.2build1
2026-03-15 01:27:47 startup packages configure
2026-03-15 01:27:47 configure java-common:all 0.76 <none>
2026-03-15 01:27:47 status unpacked java-common:all 0.76
2026-03-15 01:27:47 status half-configured java-common:all 0.76
2026-03-15 01:27:47 status installed java-common:all 0.76
2026-03-15 01:27:47 configure libxt-dev:amd64 1:1.2.1-1.2build1 <none>
2026-03-15 01:27:47 status unpacked libxt-dev:amd64 1:1.2.1-1.2build1
2026-03-15 01:27:47 status half-configured libxt-dev:amd64 1:1.2.1-1.2build1
2026-03-15 01:27:47 status installed libxt-dev:amd64 1:1.2.1-1.2build1
2026-03-15 01:27:47 configure fonts-dejavu-extra:all 2.37-8 <none>
2026-03-15 01:27:47 status unpacked fonts-dejavu-extra:all 2.37-8
